Date,Time,Type,Name,Category,Amount,,Currency,Local amount,Local currency,Notes and #tags,Description,Money Out,Money In
30-01-2024,02:30:00,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
30-01-2024,18:22:04,Card payment,Uber,Transport,-1.66,,GBP,-175,INR,,UBER * PENDING         Vorden        NLD,-1.66,
30-01-2024,18:24:46,Card payment,Uber,Transport,1.66,,GBP,175,INR,,UBER * PENDING         Vorden        NLD,,1.66
31-01-2024,02:30:32,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
31-01-2024,18:40:02,Card payment,Lothian Buses,General,-4,,GBP,-4,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4,
01-02-2024,00:26:49,Faster payment,Farhaan Qazi,Transfers,-100,,GBP,-100,GBP,Farhaan Qazi,Farhaan Qazi,-100,
01-02-2024,04:43:06,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
01-02-2024,22:31:51,Card payment,Lothian Buses,General,-2,,GBP,-2,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-2,
02-02-2024,02:55:02,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
02-02-2024,05:08:45,Card payment,Lothian Buses,General,-5.5,,GBP,-5.5,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-5.5,
02-02-2024,05:43:38,Card payment,Pret,Eating out,-9.3,,GBP,-9.3,GBP,,PRET A MANGER          EDINBURGH     GBR,-9.3,
02-02-2024,07:58:17,Card payment,Uber,Transport,-0.55,,GBP,-57.94,INR,,UBER * PENDING         Vorden        NLD,-0.55,
02-02-2024,08:49:06,Card payment,Uber,Transport,-0.44,,GBP,-46.55,INR,,UBER * PENDING         Vorden        NLD,-0.44,
03-02-2024,02:23:27,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
04-02-2024,02:19:40,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
04-02-2024,17:33:09,Card payment,Well Bite Ltd,Eating out,-14,,GBP,-14,GBP,,Zettle_*WELL BITE LTD  London        GBR,-14,
04-02-2024,19:41:39,Card payment,Mr Simms Olde Sweet Shope,Groceries,-3.98,,GBP,-3.98,GBP,,AMERICAN CANDY         LONDON        GBR,-3.98,
04-02-2024,19:56:48,Card payment,Superdrug,Personal care,-1.63,,GBP,-1.63,GBP,,SUPERDRUG STORES PLC   CAMDEN        GBR,-1.63,
05-02-2024,02:27:44,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
06-02-2024,02:27:20,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
06-02-2024,14:55:31,Card payment,Transport for London,Transport,-7.7,,GBP,-7.7,GBP,"Travel charge for Tuesday, 6 Feb",TfL Travel Charge      TFL.gov.uk/CP GBR,-7.7,
06-02-2024,15:50:16,Card payment,Sonargaon,Eating out,-14.95,,GBP,-14.95,GBP,,SONARGAON              LONDON        GBR,-14.95,
06-02-2024,18:00:31,Card payment,Pret,Eating out,-3.8,,GBP,-3.8,GBP,,PRET A MANGER          LONDON        GBR,-3.8,
07-02-2024,02:18:47,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
07-02-2024,16:52:59,Card payment,Uber,Transport,-2.27,,GBP,-236.31,INR,,UBER * PENDING         Vorden        NLD,-2.27,
07-02-2024,18:06:37,Card payment,Uber,Transport,-2.37,,GBP,-246.11,INR,,UBER *TRIP HELP.UBER.C Vorden        NLD,-2.37,
07-02-2024,18:07:34,Card payment,Uber,Transport,2.27,,GBP,236.31,INR,,UBER * PENDING         Vorden        NLD,,2.27
08-02-2024,02:42:02,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
08-02-2024,12:48:04,Card payment,Transport for London,Transport,-3.7,,GBP,-3.7,GBP,"Travel charge for Wednesday, 7 Feb",TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,-3.7,
08-02-2024,13:50:09,Card payment,Tesco Ashford,Eating out,-3.55,,GBP,-3.55,GBP,,TESCO ASHFORD          ASHFORD       GBR,-3.55,
09-02-2024,02:31:39,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
09-02-2024,07:54:11,Card payment,Uber,Transport,-0.49,,GBP,-50.89,INR,,UBER * PENDING         Vorden        NLD,-0.49,
09-02-2024,08:57:13,Card payment,Uber,Transport,-0.47,,GBP,-49.2,INR,,UBER * PENDING         Vorden        NLD,-0.47,
09-02-2024,13:58:13,Card payment,Cafe Madeleine,Eating out,-7.9,,GBP,-7.9,GBP,,CAFE MADELEINE         ASHFORD       GBR,-7.9,
10-02-2024,02:25:10,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
10-02-2024,16:18:03,Card payment,Greggs,Eating out,-5,,GBP,-5,GBP,,GREGGS MOTO            TODDINGTON NE GBR,-5,
11-02-2024,02:18:18,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
11-02-2024,12:42:25,Card payment,Mk Sports Bar & Lounge,Entertainment,-2.7,,GBP,-2.7,GBP,,MK Sports Bar & Lounge Newport Pagne GBR,-2.7,
12-02-2024,02:20:42,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
12-02-2024,21:39:46,Card payment,Kiosk Xscape,Groceries,-2.89,,GBP,-2.89,GBP,,Kiosk Xscape           Milton Keynes GBR,-2.89,
13-02-2024,02:16:32,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
13-02-2024,15:14:32,Card payment,Giaridno 14 Cmk P5,Eating out,-3.2,,GBP,-3.2,GBP,,GIARIDNO 14 CMK P5     MILTON KEYNES GBR,-3.2,
13-02-2024,18:51:29,Card payment,Avanti West Coast,Transport,-4.5,,GBP,-4.5,GBP,,AVANTI WEST COAST      BIRMINGHAM    GBR,-4.5,
13-02-2024,21:00:05,Card payment,Lothian Buses,General,-2,,GBP,-2,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-2,
14-02-2024,02:18:46,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
15-02-2024,02:30:11,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
16-02-2024,02:41:51,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
16-02-2024,12:31:37,Card payment,Lothian Buses,General,-4,,GBP,-4,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4,
16-02-2024,14:20:24,Card payment,Maqbools Superma,Groceries,-7.33,,GBP,-7.33,GBP,,MAQBOOLS SUPERMA       EDINBURGH     GBR,-7.33,
16-02-2024,14:23:22,Card payment,Edinburgh Mosque Kitch,Eating out,-23,,GBP,-23,GBP,,Edinburgh Mosque Kitch Edinburgh     GBR,-23,
17-02-2024,02:21:24,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
18-02-2024,02:17:23,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
19-02-2024,02:22:50,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
20-02-2024,02:23:39,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
20-02-2024,14:27:29,Card payment,Lothian Buses,General,-4.8,,GBP,-4.8,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4.8,
20-02-2024,15:28:46,Card payment,Boots,Personal care,-15.6,,GBP,-15.6,GBP,,BOOTS EDINBURGH        MIDLOTHIAN    GBR,-15.6,
20-02-2024,15:46:42,Card payment,Superdrug,Personal care,-14.78,,GBP,-14.78,GBP,,SUPERDRUG STORES PLC   EDINBURGH     GBR,-14.78,
20-02-2024,16:06:18,Card payment,Gdk St James Quarter E,Eating out,-22.47,,GBP,-22.47,GBP,,GDK ST JAMES QUARTER E E'BURGH EH1   GBR,-22.47,
20-02-2024,18:21:02,Card payment,Primark,Shopping,-28.1,,GBP,-28.1,GBP,,PRIMARK 650            ED'BURGH EH2  GBR,-28.1,
20-02-2024,20:20:23,Card payment,Sumup The Mosque Of,General,-10.17,,GBP,-10.17,GBP,,SumUp  *The Mosque of  Edinburgh     GBR,-10.17,
20-02-2024,20:30:35,Card payment,Lidl,Groceries,-8.15,,GBP,-8.15,GBP,,LIDL GB  EDINBURGH     EDINBURGH     GBR,-8.15,
20-02-2024,20:34:46,Card payment,Sainsbury’s,Groceries,-6.5,,GBP,-6.5,GBP,,SAINSBURYS EDINBURGH-N EDINBURGH     GBR,-6.5,
21-02-2024,00:25:10,Card payment,Lothian Buses,General,0.1,,GBP,0.1,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,,0.1
21-02-2024,02:19:58,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
22-02-2024,02:21:59,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
23-02-2024,00:44:12,Card payment,Lothian Buses,General,0.1,,GBP,0.1,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,,0.1
23-02-2024,01:10:40,Card payment,Lothian Buses,General,0.1,,GBP,0.1,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,,0.1
23-02-2024,01:15:56,Card payment,Lothian Buses,General,0.1,,GBP,0.1,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,,0.1
23-02-2024,03:04:24,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
23-02-2024,05:06:47,Card payment,Lothian Buses,General,-4.8,,GBP,-4.8,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4.8,
23-02-2024,06:00:15,Card payment,SumUp,General,-10.17,,GBP,-10.17,GBP,,SumUp *SumUp Payments  London        GBR,-10.17,
23-02-2024,14:20:33,Card payment,Edinburgh Mosque Kitch,Eating out,-14.5,,GBP,-14.5,GBP,,Edinburgh Mosque Kitch Edinburgh     GBR,-14.5,
24-02-2024,02:27:04,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
25-02-2024,02:28:03,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
26-02-2024,02:34:04,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
26-02-2024,14:41:33,Card payment,Lothian Buses,General,-4.8,,GBP,-4.8,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4.8,
26-02-2024,15:56:44,Card payment,Gdk St James Quarter E,Eating out,-4.98,,GBP,-4.98,GBP,,GDK ST JAMES QUARTER E E'BURGH EH1   GBR,-4.98,
27-02-2024,02:26:58,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
27-02-2024,16:15:50,Card payment,Lothian Buses,General,-4,,GBP,-4,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4,
