Date,Time,Type,Name,Category,Amount,,Currency,Local amount,Local currency,Notes and #tags,Description,Money Out,Money In
22-03-2024,23:35:05,Card payment,Abdul Halal Market,Groceries,-5,,GBP,-5,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-5,
23-03-2024,02:21:28,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
24-03-2024,02:18:51,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
24-03-2024,16:47:11,Card payment,Deliveroo,Eating out,-15.29,,GBP,-15.29,GBP,,DELIVEROO              +442036999977 GBR,-15.29,
24-03-2024,23:20:47,Card payment,Sumup The Mosque Of,General,-50.84,,GBP,-50.84,GBP,,SumUp  *The Mosque of  Edinburgh     GBR,-50.84,
24-03-2024,23:24:44,Card payment,Abdul Halal Market,Groceries,-5.2,,GBP,-5.2,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-5.2,
25-03-2024,02:32:03,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
25-03-2024,23:19:18,Card payment,Abdul Halal Market,Groceries,-5,,GBP,-5,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-5,
26-03-2024,02:28:40,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
27-03-2024,02:27:48,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
27-03-2024,17:30:33,Card payment,Raz Kavalry Technologi,Entertainment,-41.04,,GBP,-41.04,GBP,,RAZ*KAVALRY TECHNOLOGI Jaipur        IND,-41.04,
27-03-2024,23:38:29,Card payment,Abdul Halal Market,Groceries,-3.5,,GBP,-3.5,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-3.5,
28-03-2024,02:50:58,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
28-03-2024,23:40:08,Card payment,Abdul Halal Market,Groceries,-10.98,,GBP,-10.98,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-10.98,
29-03-2024,02:46:15,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
29-03-2024,15:08:40,Card payment,Idarataleem-ul,General,-50,,GBP,-50,GBP,,SumUp  *IdaraTaleem-ul Edinburgh     GBR,-50,
29-03-2024,16:57:25,Card payment,Lidl,Groceries,-19.12,,GBP,-19.12,GBP,,LIDL GB  EDINBURGH     EDINBURGH     GBR,-19.12,
29-03-2024,17:08:08,Card payment,Al-Medina Halal Meats,Groceries,-15.25,,GBP,-15.25,GBP,,Al-Medina Halal Meats  Edinburgh     GBR,-15.25,
29-03-2024,17:14:17,Card payment,M Kitchen,Eating out,-7,,GBP,-7,GBP,,M KITCHEN              EDINBURGH     GBR,-7,
30-03-2024,02:30:38,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
31-03-2024,02:37:01,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
31-03-2024,20:40:24,Card payment,Lothian Buses,General,-4.3,,GBP,-4.3,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4.3,
01-04-2024,04:39:07,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
02-04-2024,02:55:50,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
02-04-2024,21:05:54,Card payment,Sumup The Mosque Of,General,-5.08,,GBP,-5.08,GBP,,SumUp  *The Mosque of  Edinburgh     GBR,-5.08,
03-04-2024,02:24:22,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
04-04-2024,01:19:11,Card payment,Abdul Halal Market,Groceries,-5.8,,GBP,-5.8,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-5.8,
04-04-2024,02:24:20,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
04-04-2024,21:12:16,Card payment,Sumup The Mosque Of,General,-10.17,,GBP,-10.17,GBP,,SumUp  *The Mosque of  Edinburgh     GBR,-10.17,
05-04-2024,01:17:46,Card payment,Abdul Halal Market,Groceries,-15.38,,GBP,-15.38,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-15.38,
05-04-2024,02:43:34,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
05-04-2024,14:13:47,Card payment,Al-Medina Halal Meats,Groceries,-9.8,,GBP,-9.8,GBP,,Al-Medina Halal Meats  Edinburgh     GBR,-9.8,
05-04-2024,14:17:24,Card payment,Abdul Halal Market,Groceries,-3,,GBP,-3,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-3,
05-04-2024,14:27:36,Card payment,Lidl,Groceries,-6.18,,GBP,-6.18,GBP,,LIDL GB  EDINBURGH     EDINBURGH     GBR,-6.18,
05-04-2024,14:32:49,Card payment,Sainsbury’s,Groceries,-7.9,,GBP,-7.9,GBP,,SAINSBURYS EDINBURGH-N EDINBURGH     GBR,-7.9,
06-04-2024,02:20:14,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
07-04-2024,00:18:32,Card payment,Abdul Halal Market,Groceries,-4.3,,GBP,-4.3,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-4.3,
07-04-2024,03:07:53,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
08-04-2024,02:24:44,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
09-04-2024,01:52:33,Card payment,Abdul Halal Market,Groceries,-3,,GBP,-3,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-3,
09-04-2024,02:41:22,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
09-04-2024,17:27:58,Card payment,Deliveroo,Eating out,-29.83,,GBP,-29.83,GBP,,DELIVEROO              +442036999977 GBR,-29.83,
10-04-2024,02:20:36,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
10-04-2024,06:27:59,Card payment,Lidl,Groceries,-1.2,,GBP,-1.2,GBP,,LIDL GB  EDINBURGH     EDINBURGH     GBR,-1.2,
10-04-2024,22:27:47,Card payment,KFC,Eating out,-6.99,,GBP,-6.99,GBP,,KFC ST ANDREWS         EDINBURGH     GBR,-6.99,
